descrizione;categoria
Anti;immobili
Argento;immobili
Pertile;immobili
sassoferrato;immobili
div.;investimenti
Liceo Chateaubriand;spese
GUIDA ENRICO,MELLINI PALMA RITA;immobili
admiral;spese
directa;transfer
lyoness;investimenti
Lyconet;investimenti
Interessi Portaf.;investimenti
bakkali;spese
audible;spese
kindle;spese
decathlon;spese
iliad;spese
carta di credito;carta di credito
bricoman;spese
leroy;spese
cameriera;spese
bozzo;spese
liberagri;spese
i miei amici animali;spese
farmacia;spese
hype;carta di credito
snow side;spese
plaza;spese
circolo degli scacchi;spese
scacchi;spese
trattoria;spese
ristorante;spese
bar;spese
vineria;spese
pasticceria;spese
Cookery Srl;spese
interactive brokers;transfer
ryoga;spese
vittorio alfabeto;transfer
prelievo smart;spese
bancomat;spese
simecom;immobili
Circolo Canottieri Aniene;spese
Terre dei consoli;spese
Golf Nazionale;spese
Think Poetic;spese
Terre;spese
Golf;spese
Fabio Pisano;spese
Paypal;spese
amazon;spese
Pagamento Tramite Pos;spese
Prime Video;spese
Cottage Aniene;spese
Baja Gestioni Srl;spese
Distributore;spese
Gelateria;spese
Faro;spese
Carrefour;spese
supermercato;spese
PIM;spese
Edilflaminio;spese
Orsolini;spese
Uniqlo;spese
Illumia;spese
Tyche;spese
P.p.& P.;spese
Trattoria;spese
Kebab;spese
Salotto 42;spese
mettiti in coda;spese
Ghost Services;spese
Golf Club;spese
Pagamento Su POS PV5673;spese
TELECOM ITALIA SPA O TIM;spese
Telepass;spese
Canone Mensile;spese
Addebito imposta di bollo Dossier: 207454;spese
Le Jardin De Russie;spese
Bonifico Disposto A Favore Di Nicola Tronci;spese
Bonifico Disposto A Favore Di Maria Tronci;spese
Imposta di bollo di conto corrente;spese
46285 Roma Viale Tizia Pagamento Su POS 46285 ROMA VIALE TIZIA 02/030941 Carta N.6046 XXXX XXXX XX47 COD. 3109991/00045;spese
gasoline;spese
museum;spese
Koebenhavn;spese
Kobenhavn;spese
KBENHAVN;spese
DNK;spese
norwegian;spese
hotel;spese





